"MES_ANO_ACIDENTE","NATUREZA_DA_LESAO","AGENTE_CAUSADOR_ACIDENTE","INDICA_OBITO_ACIDENTE","POPULACAO","NOME_MUN","NOME_UF"
"01-JUL-18","Queimadura ou Escald","Liquido, Nic","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Dispositivo de Trans","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Contusao, Esmagament","Rua e Estrada - Supe","Não","74299","Itapira","São Paulo"
"01-JUL-18","Queimadura ou Escald","Agua - Usar Quando O","Não","1365899","Guarulhos","São Paulo"
"01-JUL-18","Lesoes Multiplas","Veiculo, Nic","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Ferramenta Manual se","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Lesao Imediata","Piso de Veiculo - Su","Não","150713","Mogi Guaçu","São Paulo"
"01-JUL-18","Contusao, Esmagament","Aeronave","Não","713943","São José dos Campos","São Paulo"
"01-JUL-18","Lesao Imediata, Nic","Produto Biologico (S","Não","713943","São José dos Campos","São Paulo"
"01-JUL-18","Escoriacao, Abrasao","Madeira (Toro, Madei","Não","12264","Ibirá","São Paulo"
"01-JUL-18","Luxacao","Escada Movel ou Fixa","Não","456245","São José do Rio Preto","São Paulo"
"01-JUN-18","Contusao, Esmagament","Veiculo, Nic","Não","5968","Santo Antônio do Jardim","São Paulo"
"01-JUL-18","Dermatose (Erupcao,","Animal Vivo","Não","59649","Itupeva","São Paulo"
"01-JUL-18","Contusao, Esmagament","Maquina de Aparafusa","Não","204797","Rio Claro","São Paulo"
"01-JUL-18","Fratura","Escada Movel ou Fixa","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Queimadura ou Escald","Fogo-Chama,Material","Não","694534","Ribeirão Preto","São Paulo"
"01-JUL-18","Amputacao ou Enuclea","Maquina, Nic","Não","36127","Barra Bonita","São Paulo"
"01-JUL-18","Lesao Imediata, Nic","Puncao, Ponteiro, Va","Não","1365899","Guarulhos","São Paulo"
"01-JUL-18","Escoriacao, Abrasao","Metal - Inclui Liga","Não","12176866","São Paulo","São Paulo"
"01-JUN-18","Corte, Laceracao, Fe","Maquina, Nic","Não","671186","Sorocaba","São Paulo"
"01-JUL-18","Fratura","Equip. Eletrico, Nic","Não","124453","Sertãozinho","São Paulo"
"01-JUL-18","Escoriacao, Abrasao","Motocicleta, Motonet","Não","231863","Jacareí","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Veiculo Rodoviario M","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Queimadura ou Escald","Fogo-Chama,Material","Não","833240","São Bernardo do Campo","São Paulo"
"01-JUL-18","Contusao, Esmagament","Caixa, Engradado, Ca","Não","120572","Várzea Paulista","São Paulo"
"01-JUL-18","Fratura","Guindaste - Equip. d","Não","1194094","Campinas","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Louca de Mesa e Outr","Não","694534","Ribeirão Preto","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Laminadora, Calandra","Não","414810","Jundiaí","São Paulo"
"01-JUL-18","Fratura","Asfalto, Alcatrao, P","Não","271306","Barueri","São Paulo"
"01-JUL-18","Escoriacao, Abrasao","Veiculo, Nic","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Fratura","Rua e Estrada - Supe","Não","237112","Americana","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Serra - Maquina","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Composto Metalico (D","Não","696850","Osasco","São Paulo"
"01-JUL-18","Contusao, Esmagament","Particulas - nao Ide","Não","237130","Marília","São Paulo"
"01-JUL-18","Luxacao","Motocicleta, Motonet","Não","303682","Limeira","São Paulo"
"01-JUL-18","Fratura","Veiculo Rodoviario M","Não","129760","Cubatão","São Paulo"
"01-JUL-18","Distensao, Torcao","Escada Movel ou Fixa","Não","12176866","São Paulo","São Paulo"
"01-JUN-18","Fratura","Motocicleta, Motonet","Não","112711","Ourinhos","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Faca, Facao- Ferrame","Não","160275","São Caetano do Sul","São Paulo"
"01-MAR-18","Doenca, Nic","Esforco Excessivo, N","Não","713943","São José dos Campos","São Paulo"
"01-JUN-18","Doenca, Nic","Ataque de Ser Vivo,","Não","833240","São Bernardo do Campo","São Paulo"
"01-JUL-18","Distensao, Torcao","Motocicleta, Motonet","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Fratura","Motocicleta, Motonet","Não","713943","São José dos Campos","São Paulo"
"01-JUL-18","Fratura","Bicicleta","Não","191993","Ferraz de Vasconcelos","São Paulo"
"01-JUL-18","Fratura","Veiculo, Nic","Não","12176866","São Paulo","São Paulo"
"01-JUN-18","Fratura","Veiculo, Nic","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Contusao, Esmagament","Veiculo, Nic","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Fratura","Motocicleta, Motonet","Não","671186","Sorocaba","São Paulo"
"01-JUL-18","Lesao Imediata, Nic","Madeira (Toro, Madei","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Lesoes Multiplas","Veiculo Rodoviario M","Não","696850","Osasco","São Paulo"
"01-JUL-18","Fratura","Motocicleta, Motonet","Não","456245","São José do Rio Preto","São Paulo"
"01-JUL-18","Contusao, Esmagament","Metal - Inclui Liga","Não","233744","Araraquara","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Serra - Maquina","Não","36655","José Bonifácio","São Paulo"
"01-JUL-18","Lesao Imediata, Nic","Caixa, Engradado, Ca","Não","13833","Itapuí","São Paulo"
"01-JUL-18","Escoriacao, Abrasao","Motocicleta, Motonet","Não","56984","Taquaritinga","São Paulo"
"01-JUL-18","Contusao, Esmagament","Torre, Poste - Edifi","Não","414810","Jundiaí","São Paulo"
"01-JUL-18","Fratura","Escada Movel ou Fixa","Não","374272","Bauru","São Paulo"
"01-JUL-18","Escoriacao, Abrasao","Mesa, Carteira, Exce","Não","1365899","Guarulhos","São Paulo"
"01-JUL-18","Contusao, Esmagament","Asfalto, Alcatrao, P","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Fratura","Balcao, Bancada - Mo","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Contusao, Esmagament","Veiculo Rodoviario M","Não","271306","Barueri","São Paulo"
"01-JUL-18","Lesao Imediata, Nic","Escada Movel ou Fixa","Não","249415","São Carlos","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Veiculo Rodoviario M","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Maquina, Nic","Não","713943","São José dos Campos","São Paulo"
"01-JUL-18","Escoriacao, Abrasao","Motocicleta, Motonet","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Produto Biologico (S","Não","119090","Itatiba","São Paulo"
"01-JUL-18","Distensao, Torcao","Escada Movel ou Fixa","Não","456245","São José do Rio Preto","São Paulo"
"01-JUL-18","Distensao, Torcao","Calcada ou Caminho p","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Escoriacao, Abrasao","Motocicleta, Motonet","Não","121210","Catanduva","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Caixa, Engradado, Ca","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Misturador, Batedeir","Não","249415","São Carlos","São Paulo"
"01-JUL-18","Contusao, Esmagament","Cais, Doca - Edifici","Não","39962","Américo Brasiliense","São Paulo"
"01-JUL-18","Escoriacao, Abrasao","Motocicleta, Motonet","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Queimadura ou Escald","Agua - Usar Quando O","Não","47748","Louveira","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Maquina, Nic","Não","77510","Lins","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Frasco, Garrafa - Em","Não","400949","Piracicaba","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Motocicleta, Motonet","Não","694534","Ribeirão Preto","São Paulo"
"01-JUL-18","Distensao, Torcao","Escada Permanente Cu","Não","90063","Avaré","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Ferramenta Portatil","Não","231863","Jacareí","São Paulo"
"01-MAY-18","Corte, Laceracao, Fe","Faca, Facao- Ferrame","Não","92715","Mogi Mirim","São Paulo"
"01-JUL-18","Escoriacao, Abrasao","Maquina de Fundir, d","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Distensao, Torcao","Chao - Superficie Ut","Não","414810","Jundiaí","São Paulo"
"01-JUL-18","Lesao Imediata, Nic","Ferramenta, Maquina,","Não","1365899","Guarulhos","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Ferramenta, Maquina,","Não","24221","Cordeirópolis","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Faca, Facao- Ferrame","Não","303682","Limeira","São Paulo"
"01-JUL-18","Fratura","Escada Movel ou Fixa","Não","17009","Charqueada","São Paulo"
"01-JUL-18","Contusao, Esmagament","Chao - Superficie Ut","Não","1365899","Guarulhos","São Paulo"
"01-JUL-18","Fratura","Empilhadeira","Não","47748","Louveira","São Paulo"
"01-JUL-18","Inflamacao de Articu","Bicicleta","Não","172268","Itu","São Paulo"
"01-JUL-18","Contusao, Esmagament","Cadeira Banco - Mobi","Não","350400","Franca","São Paulo"
"01-JUN-18","Fratura","Motocicleta, Motonet","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Escoriacao, Abrasao","Motocicleta, Motonet","Não","81895","Cruzeiro","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Tesoura, Guilhotina,","Não","123481","Jandira","São Paulo"
"01-JUN-18","Lesao Imediata, Nic","Mesa, Carteira, Exce","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Luxacao","Caixa, Engradado, Ca","Não","160275","São Caetano do Sul","São Paulo"
"01-JUL-18","Distensao, Torcao","Chao - Superficie Ut","Não","271306","Barueri","São Paulo"
"01-AUG-18","Escoriacao, Abrasao","Agente Infeccioso ou","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Fratura","Escada Movel ou Fixa","Não","12176866","São Paulo","São Paulo"
"01-AUG-18","Fratura","Superficie e Estrutu","Não","12176866","São Paulo","São Paulo"
"01-AUG-18","Lesao Imediata, Nic","Veiculo, Nic","Não","12176866","São Paulo","São Paulo"
"01-AUG-18","Lesao Imediata, Nic","Animal Vivo","Não","432957","Santos","São Paulo"
"01-AUG-18","Corte, Laceracao, Fe","Faca, Facao- Ferrame","Não","172268","Itu","São Paulo"
"01-AUG-18","Fratura","Maquina de Aparafusa","Não","833240","São Bernardo do Campo","São Paulo"
"01-AUG-18","Corte, Laceracao, Fe","Metal - Inclui Liga","Não","12176866","São Paulo","São Paulo"
"01-AUG-18","Corte, Laceracao, Fe","Metal - Inclui Liga","Não","12176866","São Paulo","São Paulo"
"01-AUG-18","Contusao, Esmagament","Escada Permanente Cu","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Edificio - Edificio","Não","319146","Praia Grande","São Paulo"
"01-AUG-18","Luxacao","Mesa, Carteira, Exce","Não","1194094","Campinas","São Paulo"
"01-JUL-18","Lesao Imediata, Nic","Chao - Superficie Ut","Não","12176866","São Paulo","São Paulo"
"01-AUG-18","Fratura","Calcada ou Caminho p","Não","456245","São José do Rio Preto","São Paulo"
"01-AUG-18","Lesao Imediata, Nic","Veiculo, Nic","Não","440769","Mogi das Cruzes","São Paulo"
"01-AUG-18","Lesao Imediata","Veiculo, Nic","Não","88276","Lorena","São Paulo"
"01-AUG-18","Corte, Laceracao, Fe","Faca, Facao- Ferrame","Não","8626","Vista Alegre do Alto","São Paulo"
"01-AUG-18","Corte, Laceracao, Fe","Faca, Facao- Ferrame","Não","12176866","São Paulo","São Paulo"
"01-AUG-18","Escoriacao, Abrasao","Motocicleta, Motonet","Não","192536","Santa Bárbara d'Oeste","São Paulo"
"01-AUG-18","Escoriacao, Abrasao","Ferramenta Manual se","Não","30237","Casa Branca","São Paulo"
"01-AUG-18","Distensao, Torcao","Chao - Superficie Ut","Não","152433","Franco da Rocha","São Paulo"
"01-AUG-18","Lesao Imediata, Nic","Caixa, Engradado, Ca","Não","12176866","São Paulo","São Paulo"
"01-AUG-18","Corte, Laceracao, Fe","Motocicleta, Motonet","Não","319146","Praia Grande","São Paulo"
"01-AUG-18","Lesao Imediata, Nic","Vidraria, Fibra de V","Não","129760","Cubatão","São Paulo"
"01-JUL-18","Fratura","Mesa, Carteira, Exce","Não","18775","Viradouro","São Paulo"
"01-JUL-18","Distensao, Torcao","Calcada ou Caminho p","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Luxacao","Escada Movel ou Fixa","Não","271306","Barueri","São Paulo"
"01-AUG-18","Queimadura ou Escald","Oleo Combustivel","Não","12176866","São Paulo","São Paulo"
"01-AUG-18","Corte, Laceracao, Fe","Maquina, Nic","Não","77436","Bebedouro","São Paulo"
"01-AUG-18","Corte, Laceracao, Fe","Ferramenta Manual se","Não","195874","Araçatuba","São Paulo"
"01-AUG-18","Fratura","Piso de Edificio - S","Não","136517","Santana de Parnaíba","São Paulo"
"01-AUG-18","Fratura","Edificio - Edificio","Não","93892","Itapeva","São Paulo"
"01-AUG-18","Contusao, Esmagament","Motocicleta, Motonet","Não","195874","Araçatuba","São Paulo"
"01-AUG-18","Distensao, Torcao","Chao - Superficie Ut","Não","12176866","São Paulo","São Paulo"
"01-AUG-18","Lesao Imediata, Nic","Ferramenta Manual se","Não","694534","Ribeirão Preto","São Paulo"
"01-JUL-18","Contusao, Esmagament","Texteis - Inclui Fib","Não","1365899","Guarulhos","São Paulo"
"01-AUG-18","Corte, Laceracao, Fe","Faca, Facao- Ferrame","Não","120533","Tatuí","São Paulo"
"01-AUG-18","Fratura","Alicate, Torques, Te","Não","127123","Valinhos","São Paulo"
"01-AUG-18","Corte, Laceracao, Fe","Metal - Inclui Liga","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Distensao, Torcao","Piso de Edificio - S","Não","249415","São Carlos","São Paulo"
"01-AUG-18","Corte, Laceracao, Fe","Frasco, Garrafa - Em","Não","77308","Vinhedo","São Paulo"
"01-AUG-18","Escoriacao, Abrasao","Andaime, Plataforma","Não","88276","Lorena","São Paulo"
"01-AUG-18","Distensao, Torcao","Veiculo Sobre Trilho","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Contusao, Esmagament","Engrenagem - Disposi","Não","278571","Sumaré","São Paulo"
"01-AUG-18","Fratura","Madeira (Toro, Madei","Não","1365899","Guarulhos","São Paulo"
"01-AUG-18","Queimadura ou Escald","Maquina de Embalar o","Não","21851","Pompéia","São Paulo"
"01-AUG-18","Luxacao","Ferramenta, Maquina,","Não","716109","Santo André","São Paulo"
"01-AUG-18","Luxacao","Rua e Estrada - Supe","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Lesao Imediata, Nic","Motocicleta, Motonet","Não","249415","São Carlos","São Paulo"
"01-JUL-18","Contusao, Esmagament","Caixa, Engradado, Ca","Não","1365899","Guarulhos","São Paulo"
"01-AUG-18","Lesoes Multiplas","Motocicleta, Motonet","Não","414810","Jundiaí","São Paulo"
"01-AUG-18","Luxacao","Laminadora, Calandra","Não","141398","Atibaia","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Faca, Facao- Ferrame","Não","6360","Pardinho","São Paulo"
"01-AUG-18","Escoriacao, Abrasao","Veiculo Rodoviario M","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Metal - Inclui Liga","Não","92715","Mogi Mirim","São Paulo"
"01-AUG-18","Contusao, Esmagament","Maquina, Nic","Não","24794","Monte Aprazível","São Paulo"
"01-AUG-18","Corte, Laceracao, Fe","Metal - Inclui Liga","Não","144820","Botucatu","São Paulo"
"01-JUL-18","Fratura","Piso de Edificio - S","Não","271306","Barueri","São Paulo"
"01-JUL-18","Luxacao","Equip. Eletrico, Nic","Não","12176866","São Paulo","São Paulo"
"01-AUG-18","Corte, Laceracao, Fe","Arquivo, Fichario, E","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Britador, Moinho - M","Não","366519","Itaquaquecetuba","São Paulo"
"01-MAY-18","Fratura","Veiculo Rodoviario M","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Distensao, Torcao","Piso de Edificio - S","Não","59371","Nova Odessa","São Paulo"
"01-AUG-18","Fratura","Martelo, Malho, Marr","Não","303682","Limeira","São Paulo"
"01-AUG-18","Corte, Laceracao, Fe","Faca, Facao- Ferrame","Não","1194094","Campinas","São Paulo"
"01-AUG-18","Contusao, Esmagament","Calcada ou Caminho p","Não","12176866","São Paulo","São Paulo"
"01-AUG-18","Corte, Laceracao, Fe","Maquina Textil","Não","237112","Americana","São Paulo"
"01-AUG-18","Corte, Laceracao, Fe","Motocicleta, Motonet","Não","12176866","São Paulo","São Paulo"
"01-AUG-18","Escoriacao, Abrasao","Veiculo, Nic","Não","32641","Morro Agudo","São Paulo"
"01-AUG-18","Fratura","Veiculo, Nic","Não","694534","Ribeirão Preto","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Serra- Ferramenta Po","Não","716109","Santo André","São Paulo"
"01-AUG-18","Distensao, Torcao","Calcada ou Caminho p","Não","106776","Paulínia","São Paulo"
"01-AUG-18","Corte, Laceracao, Fe","Cortadeira, Guilhoti","Não","350400","Franca","São Paulo"
"01-JUL-18","Contusao, Esmagament","Prensa - Maquina","Não","33499","Araçoiaba da Serra","São Paulo"
"01-AUG-18","Fratura","Motocicleta, Motonet","Não","20284","Engenheiro Coelho","São Paulo"
"01-AUG-18","Escoriacao, Abrasao","Veiculo, Nic","Não","12176866","São Paulo","São Paulo"
"01-AUG-18","Fratura","Andaime, Plataforma","Não","12176866","São Paulo","São Paulo"
"01-AUG-18","Queimadura ou Escald","Liquido, Nic","Não","303682","Limeira","São Paulo"
"01-AUG-18","Distensao, Torcao","Escada Permanente Cu","Não","12176866","São Paulo","São Paulo"
"01-AUG-18","Corte, Laceracao, Fe","Metal - Inclui Liga","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Choque Eletrico e El","Arco Eletrico","Não","59649","Itupeva","São Paulo"
"01-JUL-18","Contusao, Esmagament","Chao - Superficie Ut","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Escoriacao, Abrasao","Bicicleta","Não","81895","Cruzeiro","São Paulo"
"01-JUL-18","Contusao, Esmagament","Veiculo, Nic","Não","12176866","São Paulo","São Paulo"
"01-AUG-18","Luxacao","Empilhadeira","Não","47361","Pedreira","São Paulo"
"01-JUL-18","Contusao, Esmagament","Agua - Usar Quando O","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Luxacao","Animal Vivo","Não","129760","Cubatão","São Paulo"
"01-AUG-18","Luxacao","Veiculo, Nic","Não","12176866","São Paulo","São Paulo"
"01-FEB-18","Doenca, Nic","Ataque de Ser Vivo,","Não","12176866","São Paulo","São Paulo"
"01-AUG-18","Distensao, Torcao","Piso de Edificio - S","Não","12176866","São Paulo","São Paulo"
"01-AUG-18","Luxacao","Alavanca, Pe-De-Cabr","Não","82702","Matão","São Paulo"
"01-JUL-18","Fratura","Escada Permanente Cu","Não","12176866","São Paulo","São Paulo"
"01-AUG-18","Contusao, Esmagament","Veiculo, Nic","Não","468148","Mauá","São Paulo"
"01-AUG-18","Contusao, Esmagament","Escada Movel ou Fixa","Não","56984","Taquaritinga","São Paulo"
"01-AUG-18","Escoriacao, Abrasao","Chao - Superficie Ut","Não","12176866","São Paulo","São Paulo"
"01-AUG-18","Lesao Imediata, Nic","Serra - Maquina","Não","43687","Orlândia","São Paulo"
"01-AUG-18","Corte, Laceracao, Fe","Faca, Facao- Ferrame","Não","68788","Mococa","São Paulo"
"01-AUG-18","Corte, Laceracao, Fe","Serra - Maquina","Não","12176866","São Paulo","São Paulo"
"01-AUG-18","Distensao, Torcao","Calcada ou Caminho p","Não","12176866","São Paulo","São Paulo"
"01-AUG-18","Distensao, Torcao","Escada Movel ou Fixa","Não","671186","Sorocaba","São Paulo"
"01-JUL-18","Lesao Imediata, Nic","Tapete, Forracao de","Não","93736","Votuporanga","São Paulo"
"01-AUG-18","Contusao, Esmagament","Mobiliario e Acessor","Não","694534","Ribeirão Preto","São Paulo"
"01-AUG-18","Distensao, Torcao","Piso de Edificio - S","Não","713943","São José dos Campos","São Paulo"
"01-AUG-18","Fratura","Madeira (Toro, Madei","Não","12176866","São Paulo","São Paulo"
"01-AUG-18","Escoriacao, Abrasao","Metal - Inclui Liga","Não","1365899","Guarulhos","São Paulo"
"01-JUL-18","Doenca, Nic","Ataque de Ser Vivo,","Não","12176866","São Paulo","São Paulo"
"01-AUG-18","Amputacao ou Enuclea","Laminadora, Calandra","Não","106776","Paulínia","São Paulo"
"01-AUG-18","Contusao, Esmagament","Ferramenta Manual se","Não","59649","Itupeva","São Paulo"
"01-AUG-18","Queimadura ou Escald","Liquido, Nic","Não","88455","Arujá","São Paulo"
"01-AUG-18","Lesoes Multiplas","Veiculo, Nic","Não","440769","Mogi das Cruzes","São Paulo"
"01-AUG-18","Corte, Laceracao, Fe","Superficie de Susten","Não","1194094","Campinas","São Paulo"
"01-AUG-18","Fratura","Serra, Serrote- Ferr","Não","400949","Piracicaba","São Paulo"
"01-AUG-18","Contusao, Esmagament","Martelo, Malho, Marr","Não","204797","Rio Claro","São Paulo"
"01-AUG-18","Contusao, Esmagament","Motocicleta, Motonet","Não","694534","Ribeirão Preto","São Paulo"
"01-AUG-18","Fratura","Chao - Superficie Ut","Não","12176866","São Paulo","São Paulo"
"01-AUG-18","Contusao, Esmagament","Escada Permanente Cu","Não","195874","Araçatuba","São Paulo"
"01-AUG-18","Lesao Imediata, Nic","Animal Vivo","Não","456245","São José do Rio Preto","São Paulo"
"01-JUL-18","Fratura","Motocicleta, Motonet","Não","12176866","São Paulo","São Paulo"
"01-AUG-18","Contusao, Esmagament","Carro de Mao","Não","12176866","São Paulo","São Paulo"
"01-AUG-18","Corte, Laceracao, Fe","Faca, Facao- Ferrame","Não","150713","Mogi Guaçu","São Paulo"
"01-JUL-18","Lesoes Multiplas","Absorcao de Substanc","Não","136517","Santana de Parnaíba","São Paulo"
"01-AUG-18","Contusao, Esmagament","Ferramenta, Maquina,","Não","350400","Franca","São Paulo"
"01-JUL-18","Concussao Cerebral","Ser Vivo, Nic","Não","12176866","São Paulo","São Paulo"
"01-AUG-18","Contusao, Esmagament","Veiculo Rodoviario M","Não","716109","Santo André","São Paulo"
"01-AUG-18","Luxacao","Andaime, Plataforma","Não","1365899","Guarulhos","São Paulo"
"01-AUG-18","Lesoes Multiplas","Rua e Estrada - Supe","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Fratura","Veiculo Rodoviario M","Não","833240","São Bernardo do Campo","São Paulo"
"01-AUG-18","Fratura","Chao - Superficie Ut","Não","12176866","São Paulo","São Paulo"
"01-AUG-18","Contusao, Esmagament","Motocicleta, Motonet","Não","12176866","São Paulo","São Paulo"
"01-AUG-18","Corte, Laceracao, Fe","Metal - Inclui Liga","Não","713943","São José dos Campos","São Paulo"
"01-AUG-18","Distensao, Torcao","Superficie de Susten","Não","716109","Santo André","São Paulo"
"01-AUG-18","Corte, Laceracao, Fe","Faca, Facao- Ferrame","Não","237112","Americana","São Paulo"
"01-AUG-18","Contusao, Esmagament","Escada Movel ou Fixa","Não","318107","Guarujá","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Puncao, Ponteiro, Va","Não","227072","Presidente Prudente","São Paulo"
"01-AUG-18","Corte, Laceracao, Fe","Faca, Facao- Ferrame","Não","8626","Vista Alegre do Alto","São Paulo"
"01-AUG-18","Corte, Laceracao, Fe","Faca, Facao- Ferrame","Não","14717","Santa Branca","São Paulo"
"01-JUL-18","Fratura","Madeira (Toro, Madei","Não","120533","Tatuí","São Paulo"
"01-AUG-18","Corte, Laceracao, Fe","Vidraria, Fibra de V","Não","12176866","São Paulo","São Paulo"
"01-AUG-18","Lesao Imediata, Nic","Veiculo Deslisante","Não","456245","São José do Rio Preto","São Paulo"
"01-AUG-18","Corte, Laceracao, Fe","Agente Infeccioso ou","Não","671186","Sorocaba","São Paulo"
"01-AUG-18","Contusao, Esmagament","Motocicleta, Motonet","Não","713943","São José dos Campos","São Paulo"
"01-AUG-18","Distensao, Torcao","Maquina Textil","Não","121331","Votorantim","São Paulo"
"01-AUG-18","Corte, Laceracao, Fe","Alavanca, Pe-De-Cabr","Não","4903","Lagoinha","São Paulo"
"01-JUN-18","Fratura","Ponte, Viaduto - Edi","Não","363173","São Vicente","São Paulo"
"01-AUG-18","Contusao, Esmagament","Agente Infeccioso ou","Não","456245","São José do Rio Preto","São Paulo"
"01-AUG-18","Contusao, Esmagament","Tanque, Cilindro (Tr","Não","716109","Santo André","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Faca, Facao- Ferrame","Não","350400","Franca","São Paulo"
"01-AUG-18","Luxacao","Veiculo, Nic","Não","65477","Tupã","São Paulo"
"01-JUL-18","Distensao, Torcao","Reacao do Corpo a Mo","Não","12176866","São Paulo","São Paulo"
"01-AUG-18","Fratura","Chao - Superficie Ut","Não","716109","Santo André","São Paulo"
"01-JUL-18","Contusao, Esmagament","Escada Movel ou Fixa","Não","12176866","São Paulo","São Paulo"
"01-AUG-18","Contusao, Esmagament","Motocicleta, Motonet","Não","122359","Birigui","São Paulo"
"01-AUG-18","Corte, Laceracao, Fe","Maquina, Nic","Não","59371","Nova Odessa","São Paulo"
"01-AUG-18","Contusao, Esmagament","Ferramenta, Maquina,","Não","249415","São Carlos","São Paulo"
"01-JUL-18","Contusao, Esmagament","Balcao, Bancada - Mo","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Escoriacao, Abrasao","Faca, Facao- Ferrame","Não","17236","Bady Bassitt","São Paulo"
"01-JUL-18","Lesao Imediata, Nic","Rua e Estrada - Supe","Não","696850","Osasco","São Paulo"
"01-JUL-18","Concussao Cerebral","Veiculo, Nic","Não","694534","Ribeirão Preto","São Paulo"
"01-AUG-18","Perda ou Diminuicao","Ruido, Exposicao A","Não","12176866","São Paulo","São Paulo"
"01-AUG-18","Escoriacao, Abrasao","Andaime, Plataforma","Não","12176866","São Paulo","São Paulo"
"01-AUG-18","Lesao Imediata, Nic","Motocicleta, Motonet","Não","237112","Americana","São Paulo"
"01-JUL-18","Escoriacao, Abrasao","Balcao, Bancada - Mo","Não","15667","São Lourenço da Serra","São Paulo"
"01-AUG-18","Escoriacao, Abrasao","Equip. Eletrico, Nic","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Luxacao","Embalagem e Recipien","Não","1365899","Guarulhos","São Paulo"
"01-MAY-18","Contusao, Esmagament","Andaime, Plataforma","Não","89943","São Roque","São Paulo"
"01-AUG-18","Luxacao","Piso de Edificio - S","Não","12176866","São Paulo","São Paulo"
"01-AUG-18","Fratura","Ferramenta, Maquina,","Não","46251","Pederneiras","São Paulo"
"01-AUG-18","Lesao Imediata, Nic","Motocicleta, Motonet","Não","67859","Lençóis Paulista","São Paulo"
"01-AUG-18","Lesoes Multiplas","Veiculo Rodoviario M","Sim","32641","Morro Agudo","São Paulo"
"01-AUG-18","Corte, Laceracao, Fe","Furadeira, Broqueade","Não","227353","Hortolândia","São Paulo"
"01-AUG-18","Fratura","Caixa, Engradado, Ca","Não","12176866","São Paulo","São Paulo"
"01-AUG-18","Escoriacao, Abrasao","Metal - Inclui Liga","Não","12176866","São Paulo","São Paulo"
"01-AUG-18","Contusao, Esmagament","Carro de Mao","Não","122359","Birigui","São Paulo"
